insurance_id,claim_id
179,97
178,10
183,100
29,56
129,91
55,17
20,173
149,48
26,176
131,1
13,34
83,164
152,156
143,189
61,115
155,45
119,192
64,95
141,180
95,162
33,117
114,174
125,69
190,63
48,142
88,15
8,108
171,31
102,7
38,86
111,75
170,103
168,64
17,88
191,37
93,99
133,178
54,112
87,4
71,157
94,134
91,107
62,191
139,139
96,40
115,183
199,145
121,98
198,49
148,166
116,130
145,83
127,168
157,79
153,194
31,2
105,104
63,154
43,16
175,177
112,102
12,198
36,184
144,70
45,121
159,87
25,50
120,106
126,6
42,105
4,181
167,60
80,21
24,71
28,193
156,110
163,172
106,66
21,41
22,3
79,136
172,197
41,143
99,170
113,23
53,59
169,140
109,30
50,152
30,96
132,43
47,39
23,46
180,42
118,25
73,146
146,199
197,80
84,114
101,18
184,51
11,188
110,11
56,78
81,92
134,169
195,20
35,158
188,123
137,128
37,58
194,116
151,90
128,127
82,32
74,165
174,73
103,167
193,118
150,84
107,72
75,94
185,111
68,155
85,35
34,62
65,8
66,13
19,5
164,149
60,195
9,67
138,76
89,9
136,54
69,109
3,161
57,196
76,171
18,135
77,38
166,47
158,150
192,131
40,124
2,120
98,14
142,200
49,26
1,125
122,24
176,129
135,179
78,29
161,126
186,82
14,74
177,148
44,141
160,153
173,187
92,19
46,93
154,137
187,77
100,163
90,159
70,119
130,101
117,28
6,160
97,122
51,113
72,89
15,57
16,33
86,12
7,138
104,133
140,44
59,144
52,76
162,24
58,39
175,147
128,115
108,185
89,50
190,75
126,69
180,40
135,9
10,130
18,128
157,7
7,43
147,27
167,112
125,23
81,157
